marca;modelo;estado;cor;quilometragem;end_tag;combustivel;ano;cambio;unico_dono;tipo;versao;direcao;portas;extra;preco;
FIAT;UNO;mg;Vermelho;70253;1;Flex;2014;Manual;Nxe3o;Hatch;UNO WAY 1.0 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;air bag, ar condicionado, trava elxe9trica, vidro elxe9trico, som;26900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-evo-way-2012-1-0-8v-4-portas-flex-oportunidade-556819653?xtmc=fiat+uno&xtnp=1&xtcr=39;
FIAT;STRADA;mg;Verde;153000;7;Gasolina;2001;Manual;Nxe3o;Pick-up;STRADA WORKING 1.5 MPI 8V CS;Hidrxe1ulica;2 portas;trava elxe9trica;13600;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-542848600?xtmc=fiat+uno&xtnp=1&xtcr=40;
FIAT;IDEA;mg;Prata;125000;7;Flex;2006;Manual;;;IDEA ATTRACTIVE 1.4 FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;air bag, alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som, sensor de rxe9;16900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-ideia-1-4-completo-super-novo-aceito-trocas-559299265?xtmc=fiat+uno&xtnp=1&xtcr=41;
FIAT;UNO;mg;;30178;5;Flex;2018;Manual;;;UNO DRIVE 1.0 FLEX 6V 5P;;4 portas;ar condicionado, direxe7xe3o hidrxe1ulica, vidro elxe9trico, trava elxe9trica, air bag;32300;https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-drive-4p-2017-532469652?xtmc=fiat+uno&xtnp=1&xtcr=42;
FIAT;UNO;mg;;47886;0;Flex;2018;Manual;;;UNO DRIVE 1.0 FLEX 6V 5P;;4 portas;ar condicionado, direxe7xe3o hidrxe1ulica, vidro elxe9trico, trava elxe9trica, air bag;31930;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-drive-4p-2017-537886758?xtmc=fiat+uno&xtnp=1&xtcr=43;
FIAT;UNO;mg;Preto;40000;6;Flex;2014;Manual;;;UNO VIVACE CELEB. 1.0 EVO F.FLEX 8V 5P;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, air bag, alarme, som, sensor de rxe9;22400;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/uno-vivace-2014-completo-40-000-km-rodados-559295803?xtmc=fiat+uno&xtnp=1&xtcr=44;
FIAT;UNO;mg;;103000;2;Flex;2010;Manual;;;UNO MILLE WAY ECONOMY 1.0 F.FLEX 4P;Hidrxe1ulica;4 portas;vidro elxe9trico, trava elxe9trica, alarme;14900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-mille-way-economy-1-0-8v-4p-2010-dh-ve-te-557786220?xtmc=fiat+uno&xtnp=1&xtcr=46;
FIAT;UNO;mg;Verde;115000;2;Flex;2008;Manual;Nxe3o;Passeio;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;2 portas;alarme, trava elxe9trica, vidro elxe9trico;11800;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-559292549?xtmc=fiat+uno&xtnp=1&xtcr=47;
FIAT;UNO;mg;Prata;130000;5;Flex;2008;Manual;Nxe3o;Passeio;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;alarme, trava elxe9trica, vidro elxe9trico;14000;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-559292298?xtmc=fiat+uno&xtnp=1&xtcr=48;
FIAT;UNO;mg;Preto;76800;7;Flex;2012;Manual;;;UNO WAY CELEB. 1.0 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;air bag, alarme, trava elxe9trica, ar condicionado, vidro elxe9trico, som, sensor de rxe9;20900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/uno-way-2012-completo-aceito-trocas-559291486?xtmc=fiat+uno&xtnp=1&xtcr=49;
