marca;modelo;estado;cor;quilometragem;end_tag;combustivel;ano;cambio;unico_dono;tipo;versao;direcao;portas;extra;preco;
FIAT;UNO;sp;;27190;9;Flex;2018;Manual;;;UNO DRIVE 1.0 FLEX 6V 5P;Elxe9trica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, air bag;34900;https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-drive-1-0-6v-flex-2018-551777340?xtmc=fiat+uno&xtnp=2&xtcr=7
FIAT;UNO;sp;;87515;4;Flex;2013;Manual;;;;;2 portas;;15990;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-mpi-mille-fire-economy-8v-flex-2p-manual-473352104?xtmc=fiat+uno&xtnp=2&xtcr=8
FIAT;;sp;;0;;;2006;;;;;;;;13000;https://sp.olx.com.br/regiao-de-presidente-prudente/autos-e-pecas/carros-vans-e-utilitarios/uno-fire-1-0-559303658?xtmc=fiat+uno&xtnp=2&xtcr=9
FIAT;UNO;sp;Prata;1;1;;2008;Manual;Nxe3o;Hatch;UNO MILLE WAY ECONOMY 1.0 F.FLEX 4P;Mecxe2nica;4 portas;trava elxe9trica, alarme, som;13500;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-mille-way-1-0-flex-4-portas-2008-aceito-cartao-credito-559302156?xtmc=fiat+uno&xtnp=2&xtcr=10
FIAT;UNO;sp;;168000;;Flex;2012;Manual;Nxe3o;Passeio;UNO WAY 1.0 EVO FIRE FLEX 8V 2P;Mecxe2nica;2 portas;;13900;https://sp.olx.com.br/regiao-de-bauru-e-marilia/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-mille-way-economy-559300198?xtmc=fiat+uno&xtnp=2&xtcr=11
FIAT;PUNTO;sp;Prata;90000;7;Flex;2011;Manual;Nxe3o;Hatch;PUNTO ESSENCE 1.6 FLEX 16V 5P;Hidrxe1ulica;4 portas;air bag, alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som;32900;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-punto-1-6-completo-2011-tem-score-baixo-chama-no-whats-548751975?xtmc=fiat+uno&xtnp=2&xtcr=13
FIAT;UNO;sp;;116570;6;Flex;2016;Manual;;Passeio;UNO ATTRACTIVE 1.0 FLEX 6V 5P;;4 portas;air bag, air bag, alarme, ar condicionado, direxe7xe3o hidrxe1ulica, trava elxe9trica, vidro elxe9trico;33900;https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-2015-2016-1-0-evo-attractive-8v-flex-4p-manual-550430315?xtmc=fiat+uno&xtnp=2&xtcr=14
FIAT;UNO;sp;Branco;75000;4;Flex;2014;Manual;Sim;Hatch;UNO VIVACE CELEB. 1.0 EVO F.FLEX 8V 5P;Hidrxe1ulica;4 portas;air bag, trava elxe9trica, vidro elxe9trico;25000;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-vivace-celebration-554784731?xtmc=fiat+uno&xtnp=2&xtcr=16
FIAT;UNO;sp;;92600;;;2012;;;;;Hidrxe1ulica;;ar condicionado, vidro elxe9trico, trava elxe9trica;23900;https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-way-1-0-8v-flex-4p-gabriel-pupo-12-98145-1110-531547729?xtmc=fiat+uno&xtnp=2&xtcr=17
FIAT;UNO;sp;Outra;161000;7;Gasolina;2002;Manual;Nxe3o;Passeio;UNO MILLE  ELX  2P E 4P;;2 portas;vidro elxe9trico, trava elxe9trica, alarme, som, sensor de rxe9;9300;https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-fiat-uno-mile-fire-perfeito-estado-536187496?xtmc=fiat+uno&xtnp=2&xtcr=18
